Date_mutation,Nature_mutation,Valeur_fonciere,No_voie,Type_de_voie,Voie,Code_postal,Commune,Code_departement,Code commune,Section,Type_local,Surface_reelle_bati,Nombre_pieces_principales,Nature_culture,Surface_terrain
2019-11-29,Vente,247500.0,39.0,AV,DE SAINT GUINFORT,77230.0,DAMMARTIN-EN-GOELE,77,153,C,Maison,90.0,5.0,S,473.0
2019-07-25,Vente,165000.0,10.0,RUE,DES ROCHES,86140.0,DOUSSAY,86,96,AZ,Maison,108.0,4.0,S,1000.0
2019-03-29,Vente,820000.0,17.0,RUE,DU 23 JANVIER,21000.0,DIJON,21,231,HK,Appartement,47.0,3.0,S,232.0
2019-04-12,Vente,190000.0,4.0,RUE,DU SOUCHET,49080.0,BOUCHEMAINE,49,35,AC,Maison,80.0,4.0,S,224.0
2019-09-02,Vente,416400.0,12.0,ALL,DES MESANGES,1630.0,ST-GENIS-POUILLY,1,354,AD,Maison,80.0,4.0,S,123.0
2019-05-03,Vente,250000.0,27.0,RUE,DES RAH KOED,56420.0,PLAUDREN,56,157,ZE,Maison,146.0,6.0,S,663.0
2019-01-29,Vente,173300.0,2.0,RUE,DES TILLEULS,36250.0,SAINT-MAUR,36,202,AW,Maison,126.0,5.0,S,441.0
2019-02-26,Vente,147400.0,34.0,RUE,DE TOUL,59200.0,TOURCOING,59,599,CE,Maison,64.0,4.0,S,108.0
2019-04-08,Vente,3908313.8,197.0,CHE,DE FONTANIERES,69350.0,LA MULATIERE,69,142,AE,Appartement,94.0,5.0,S,760.0
2019-06-28,Vente,231000.0,6.0,,LA CABORNE,24130.0,LUNAS,24,246,AL,Maison,120.0,5.0,P,3310.0
2019-11-05,Vente,50000.0,5071.0,,LE VILLAGE,7160.0,DORNAS,7,82,B,Maison,80.0,4.0,S,63.0
2019-03-29,Vente,530000.0,18.0,PAS,JOUVENET,76000.0,ROUEN,76,540,CX,Maison,133.0,4.0,S,342.0
2019-04-23,Vente,115000.0,5961.0,RUE,DES FLEURS,42520.0,SAINT-PIERRE-DE-BOEUF,42,272,AA,Maison,70.0,3.0,S,50.0
2019-05-14,Vente,150000.0,19.0,RUE,DU PONT AUX CERFS,59122.0,HONDSCHOOTE,59,309,A,Maison,89.0,4.0,AG,2383.0
2019-10-28,Vente,107810.0,5245.0,,PUYMANIE,19700.0,SAINT-SALVADOUR,19,240,AZ,Maison,125.0,6.0,S,1060.0
2019-07-20,Vente,27000.0,5.0,RUE,SAINT MARTIN,45220.0,TRIGUERES,45,329,H,Maison,38.0,1.0,S,41.0
2019-11-25,Vente,565000.0,53.0,RUE,DES QUATRE RUELLES,93100.0,MONTREUIL,93,48,BS,Appartement,40.0,3.0,S,192.0
2019-03-18,Vente,270000.0,5.0,,LA VALLEE DE BERREAU,44160.0,PONTCHATEAU,44,129,ZL,Maison,144.0,5.0,S,500.0
2019-05-24,Vente,349000.0,10.0,,LA VALETTE,42410.0,PELUSSIN,42,168,C,Appartement,36.0,2.0,S,252.0
2019-08-22,Vente,456000.0,41.0,CHE,DE LAGULOUP,33850.0,LEOGNAN,33,238,AP,Maison,120.0,5.0,S,759.0
2019-03-08,Vente,125000.0,4.0,,LA COUR ANCIENNE,35320.0,CREVIN,35,90,AB,Maison,65.0,3.0,S,573.0
2019-10-07,Vente,225000.0,199.0,RUE,DU GENERAL GUERIN,85000.0,ROCHE SUR YON (LA),85,191,BW,Maison,116.0,5.0,S,603.0
